Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC
"modelSuperAutoencoder_B_32_alpha_beta_(1,1).keras",0.32855046469916843,0.08762366838705639,0.08428251686659768,0.0787452775644933,,0.07735424019855526
"modelSuperAutoencoder_CNN_B_48_alpha_(1,1).keras",0.2855046469916843,0.03831621816609738,0.04816621354291499,0.025780784773079376,,0.07571972797513152
